CohortGroup,0,1,2,3,4,5,6,7,8,9,10,11,12
2009-12,1.0,0.353,0.334,0.425,0.38,0.359,0.377,0.342,0.336,0.362,0.422,0.495,0.248
2010-01,1.0,0.206,0.311,0.305,0.264,0.3,0.258,0.23,0.279,0.319,0.303,0.099,
2010-02,1.0,0.238,0.225,0.291,0.246,0.201,0.193,0.286,0.254,0.275,0.072,,
2010-03,1.0,0.19,0.231,0.242,0.233,0.204,0.247,0.303,0.276,0.079,,,
2010-04,1.0,0.194,0.194,0.163,0.184,0.224,0.276,0.262,0.068,,,,
2010-05,1.0,0.157,0.169,0.173,0.177,0.256,0.213,0.079,,,,,
2010-06,1.0,0.174,0.189,0.204,0.23,0.285,0.067,,,,,,
2010-07,1.0,0.156,0.183,0.296,0.29,0.102,,,,,,,
2010-08,1.0,0.204,0.296,0.321,0.117,,,,,,,,
2010-09,1.0,0.226,0.235,0.099,,,,,,,,,
2010-10,1.0,0.257,0.093,,,,,,,,,,
2010-11,1.0,0.108,,,,,,,,,,,
2010-12,1.0,,,,,,,,,,,,
