CustomerID,Recency,Frequency,Monetary,AvgOrderValue,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,165,11,372.86,11.298787878787879,2,5,2,252,At Risk
12347.0,3,2,1323.32,18.63830985915493,5,2,4,524,New Customers
12348.0,74,1,222.16,11.108,2,1,1,211,Lost Customers
12349.0,43,3,2671.14,26.18764705882353,3,3,5,335,Loyal Customers
12351.0,11,1,300.93,14.33,5,1,2,512,New Customers
12352.0,11,2,343.8,19.1,5,2,2,522,New Customers
12353.0,44,1,317.76,15.888,3,1,2,312,Others
12355.0,203,1,488.21000000000004,22.191363636363636,1,1,2,112,Lost Customers
12356.0,16,3,3562.25,42.407738095238095,4,3,5,435,Loyal Customers
12357.0,24,2,12079.99,73.2120606060606,4,2,5,425,New Customers
12358.0,11,3,2719.01,46.879482758620696,5,3,5,535,Loyal Customers
12359.0,61,6,2563.36,21.90905982905983,3,4,5,345,Loyal Customers
12360.0,15,5,1590.83,18.077613636363637,5,4,4,544,Champions
12361.0,98,3,321.35,16.913157894736845,2,3,2,232,At Risk
12362.0,374,1,130.0,130.0,1,1,1,111,Lost Customers
12366.0,269,1,500.24,166.74666666666667,1,1,2,112,Lost Customers
12368.0,264,1,917.6999999999999,50.98333333333333,1,1,3,113,Cannot Lose Them
12369.0,49,3,1791.15,19.25967741935484,3,3,4,334,Loyal Customers
12370.0,260,3,774.62,22.132,1,3,3,133,At Risk
12371.0,45,3,2179.42,20.95596153846154,3,3,5,335,Loyal Customers
12373.0,260,2,763.0500000000001,20.622972972972974,1,2,3,123,Cannot Lose Them
12374.0,57,3,2246.29,44.9258,3,3,5,335,Loyal Customers
12376.0,25,2,503.15,38.70384615384615,4,2,2,422,New Customers
12377.0,17,2,1798.2,23.976,4,2,4,424,New Customers
12378.0,198,1,1407.7,17.167073170731708,1,1,4,114,Cannot Lose Them
12379.0,58,2,767.98,18.73121951219512,3,2,3,323,Potential Loyalists
12380.0,101,7,6951.49,40.18202312138728,2,5,5,255,At Risk
12385.0,15,1,1938.4,29.821538461538463,5,1,4,514,New Customers
12386.0,2,1,258.9,32.3625,5,1,2,512,New Customers
12387.0,51,1,143.94,15.993333333333332,3,1,1,311,Others
12388.0,81,2,1120.45,24.357608695652175,2,2,4,224,Cannot Lose Them
12389.0,38,3,1433.33,29.251632653061222,3,3,4,334,Loyal Customers
12391.0,100,5,2312.53,12.776408839779007,2,4,5,245,At Risk
12392.0,227,1,234.75000000000003,33.53571428571429,1,1,1,111,Lost Customers
12393.0,18,2,816.85,18.996511627906976,4,2,3,423,New Customers
12395.0,7,4,2048.64,20.904489795918366,5,4,4,544,Champions
12396.0,310,1,931.43,14.329692307692307,1,1,3,113,Cannot Lose Them
12399.0,21,3,853.65,16.738235294117647,4,3,3,433,Loyal Customers
12400.0,50,1,205.25,18.65909090909091,3,1,1,311,Others
12402.0,28,5,1031.3,17.47966101694915,4,4,4,444,Champions
12403.0,157,1,591.6600000000001,147.91500000000002,2,1,3,213,Cannot Lose Them
12404.0,318,1,63.24,63.24,1,1,1,111,Lost Customers
12406.0,35,3,2975.06,48.771475409836064,4,3,5,435,Loyal Customers
12408.0,21,3,1452.22,26.892962962962965,4,3,4,434,Loyal Customers
12409.0,56,4,12346.619999999999,79.6556129032258,3,4,5,345,Loyal Customers
12410.0,138,1,320.38,22.884285714285713,2,1,2,212,Lost Customers
12411.0,45,1,346.9,15.768181818181818,3,1,2,312,Others
12412.0,38,3,1370.05,20.758333333333333,3,3,4,334,Loyal Customers
12413.0,38,1,241.35,18.565384615384616,3,1,1,311,Others
12414.0,99,3,390.0,39.0,2,3,2,232,At Risk
12415.0,11,7,19543.84,92.18792452830189,5,5,5,555,Champions
12416.0,292,1,202.56,18.414545454545454,1,1,1,111,Lost Customers
12417.0,46,11,3167.81,17.796685393258425,3,5,5,355,Loyal Customers
12418.0,49,3,1352.62,19.891470588235293,3,3,4,334,Loyal Customers
12419.0,21,2,503.01,20.1204,4,2,2,422,New Customers
12421.0,51,2,291.56,14.578,3,2,2,322,Others
12422.0,30,14,4428.24,33.29503759398496,4,5,5,455,Champions
12423.0,23,2,763.08,19.077,4,2,3,423,New Customers
12424.0,58,2,1579.07,25.468870967741935,3,2,4,324,Potential Loyalists
12425.0,84,1,964.21,17.53109090909091,2,1,3,213,Cannot Lose Them
12426.0,298,1,762.48,16.222978723404257,1,1,3,113,Cannot Lose Them
12427.0,7,1,303.5,30.35,5,1,2,512,New Customers
12429.0,1,5,3735.51,49.15144736842105,5,4,5,545,Champions
12431.0,9,13,4370.52,25.708941176470592,5,5,5,555,Champions
12433.0,2,5,7205.39,25.19367132867133,5,4,5,545,Champions
12434.0,17,1,297.29,14.864500000000001,4,1,2,412,New Customers
12435.0,32,4,6096.04,80.21105263157895,4,4,5,445,Champions
12437.0,31,21,7731.99,21.24173076923077,4,5,5,455,Champions
12439.0,318,2,1158.18,16.085833333333333,1,2,4,124,Cannot Lose Them
12440.0,98,2,859.2,26.85,2,2,3,223,Cannot Lose Them
12441.0,2,1,173.55,15.77727272727273,5,1,1,511,New Customers
12443.0,368,1,485.31,23.11,1,1,2,112,Lost Customers
12445.0,56,1,301.58000000000004,15.079000000000002,3,1,2,312,Others
12449.0,46,2,768.6,76.86,3,2,3,323,Potential Loyalists
12450.0,35,3,490.32,16.90758620689655,4,3,2,432,Others
12451.0,99,3,3634.36,23.148789808917197,2,3,5,235,At Risk
12454.0,31,4,13151.44,526.0576,4,4,5,445,Champions
12455.0,81,4,3413.09,24.913065693430656,2,4,5,245,At Risk
12457.0,71,1,632.68,28.758181818181814,3,1,3,313,Potential Loyalists
12458.0,63,2,830.09,18.045434782608698,3,2,3,323,Potential Loyalists
12459.0,241,1,454.36,19.754782608695653,1,1,2,112,Lost Customers
12460.0,92,1,326.65,18.147222222222222,2,1,2,212,Lost Customers
12466.0,318,1,56.73,56.73,1,1,1,111,Lost Customers
12467.0,59,1,132.8,14.755555555555556,3,1,1,311,Others
12468.0,162,3,2941.2,26.260714285714283,2,3,5,235,At Risk
12469.0,158,2,3070.54,40.40184210526316,2,2,5,225,Cannot Lose Them
12470.0,325,1,211.95,9.215217391304348,1,1,1,111,Lost Customers
12471.0,10,49,20139.739999999998,29.748508124076807,5,5,5,555,Champions
12472.0,5,13,11308.48,19.77006993006993,5,5,5,555,Champions
12474.0,14,13,5048.66,17.652657342657342,5,5,5,555,Champions
12475.0,45,1,426.26,17.0504,3,1,2,312,Others
12476.0,32,12,7298.99,25.79148409893993,4,5,5,455,Champions
12477.0,35,3,7056.63,26.72965909090909,4,3,5,435,Loyal Customers
12480.0,35,3,2183.2200000000003,24.809318181818185,4,3,5,435,Loyal Customers
12481.0,1,6,6765.07,38.87971264367816,5,4,5,545,Champions
